Files Compared,ORB 1,SSIM 1,ORB 2,SSIM 2,ORB 3,SSIM 3,ORB 4,SSIM 4,ORB 5,SSIM 5
"('55.png', '35.png')",0.820512821,0.675897283,0.672897196,0.779241553,0.836065574,0.858273688,0.972332016,0.916733149,1,0.904352815
"('55.png', '10.png')",0.807971014,0.714821403,0.771144279,0.809620819,0.901234568,0.870321984,0.961538462,0.921561891,1,0.957535464
"('55.png', '18.png')",0.866666667,0.704240018,0.647619048,0.812180079,0.907563025,0.885936782,0.979423868,0.920076046,0.996932515,0.960260734
"('55.png', '32.png')",0.847583643,0.657017061,0.816666667,0.804074198,0.912280702,0.813085777,0.985239852,0.92767682,1,0.967426391
"('55.png', '21.png')",0.792307692,0.706110093,0.67839196,0.790654293,0.93495935,0.924299864,0.985074627,0.932266395,1,0.90982757
"('55.png', '58.png')",0.876068376,0.722798465,0.732954545,0.789053731,0.828571429,0.838250914,0.981617647,0.922200936,1,0.950768959
"('57.png', '22.png')",0.691176471,0.848395182,0.855263158,0.750170011,0.951219512,0.891431295,0.96069869,0.92237615,0.995121951,0.990661395
"('57.png', '56.png')",0.603305785,0.831076181,0.828685259,0.76694287,0.920560748,0.876617861,0.966789668,0.924952421,1,0.904619059
"('57.png', '63.png')",0.639534884,0.755593259,0.795348837,0.752032118,0.926829268,0.859046655,0.976095618,0.921833396,1,0.997716697
"('57.png', '37.png')",0.753676471,0.806528629,0.783410138,0.755525596,0.953586498,0.88724401,0.972727273,0.9249304,0.996845426,0.981825036
"('57.png', '61.png')",0.84375,0.739789582,0.746666667,0.729197067,0.922705314,0.862470324,0.983935743,0.925365528,1,0.997716697
"('57.png', '6.png')",0.616600791,0.765704928,0.798941799,0.720254079,0.949771689,0.842569642,0.965065502,0.912043476,1,0.973888318
