Files Compared,ORB,SSIM,ORB,SSIM,ORB,SSIM,ORB,SSIM,ORB,SSIM
"('3.png', '38.png')",0.79916318,0.667040258,0.814049587,0.806069575,0.929577465,0.888918949,0.975535168,0.961608442,1,0.975065061
"('3.png', '39.png')",0.72361809,0.744347522,0.941463415,0.805305035,0.935779817,0.908666009,0.938095238,0.919787083,1,1
"('3.png', '40.png')",0.777777778,0.732743904,0.862244898,0.818234957,0.938864629,0.864958737,0.968181818,0.918639192,1,1
"('3.png', '41.png')",0.744394619,0.678852589,0.883928571,0.764380379,0.91416309,0.843343834,0.956896552,0.924129715,0.994350282,0.941912775
"('3.png', '42.png')",0.806949807,0.640608073,0.685393258,0.739754411,0.898089172,0.844424339,0.963369963,0.929331967,1,0.975108024
"('3.png', '43.png')",0.841911765,0.74679923,0.835978836,0.808834996,0.882681564,0.824741546,0.980707395,0.958447344,1,0.983488578
"('3.png', '44.png')",0.701086957,0.644517313,0.855670103,0.768677252,0.916666667,0.810056395,0.975903614,0.933419746,1,1
"('3.png', '45.png')",0.780082988,0.69695164,0.849462366,0.816820065,0.932642487,0.87565419,0.960288809,0.936282514,1,0.960948954
"('3.png', '46.png')",0.862385321,0.54519386,0.909502262,0.774153346,0.919282511,0.85785861,0.980769231,0.946893969,1,0.986462608
"('3.png', '47.png')",0.647058824,0.602248598,0.899521531,0.808259555,0.88185654,0.878505288,0.981549815,0.940705521,0.996539792,0.966211732
"('3.png', '48.png')",0.693548387,0.604396712,0.855140187,0.857127668,0.949771689,0.885141345,0.959821429,0.827298383,1,0.99757746
"('3.png', '49.png')",0.824034335,0.718636582,0.827102804,0.777137506,0.943722944,0.855343818,0.996621622,0.95607653,1,0.928525052
"('3.png', '50.png')",0.863636364,0.657001885,0.89673913,0.836485325,0.944186047,0.883460482,0.973214286,0.898730263,1,0.994483708
"('3.png', '51.png')",0.734042553,0.6529382,0.843220339,0.811458417,0.956937799,0.840834926,0.964157706,0.877917446,1,0.94601745
"('3.png', '52.png')",0.741935484,0.765568954,0.841530055,0.797703629,0.97309417,0.871576844,0.987755102,0.919626612,1,0.951335572
"('3.png', '53.png')",0.82962963,0.703037359,0.926966292,0.785019837,0.906542056,0.857403823,0.979591837,0.939020459,1,0.937708225
"('3.png', '54.png')",0.784615385,0.65543806,0.848780488,0.77995083,0.915789474,0.885165159,0.967845659,0.942505669,1,1
"('3.png', '55.png')",0.813953488,0.663083016,0.815217391,0.809532322,0.831775701,0.884252201,0.969298246,0.87956649,1,1
"('3.png', '56.png')",0.72972973,0.679222107,0.818627451,0.782749415,0.91627907,0.818062086,0.989830508,0.946694722,1,0.988357961
"('3.png', '57.png')",0.784037559,0.685788551,0.895,0.718831088,0.963709677,0.897057453,0.972881356,0.964033127,1,1
"('3.png', '58.png')",0.834677419,0.700648867,0.927038627,0.832455006,0.922330097,0.842574633,0.976958525,0.911511281,1,0.887077466
"('3.png', '59.png')",0.785407725,0.699696454,0.900473934,0.792001967,0.868181818,0.824199385,0.96969697,0.942611052,0.99669967,0.975799304
"('3.png', '60.png')",0.794759825,0.646771709,0.913043478,0.813893215,0.914691943,0.831213151,0.965517241,0.942325921,1,0.985031959
"('3.png', '61.png')",0.835555556,0.616523392,0.862745098,0.833740964,0.9408867,0.863334705,0.975728155,0.919819916,1,1
"('3.png', '62.png')",0.755364807,0.631691999,0.870967742,0.807372894,0.884955752,0.783324925,0.986725664,0.91465185,1,1
"('3.png', '63.png')",0.753488372,0.685236281,0.857142857,0.832323011,0.777070064,0.774982392,0.96875,0.943310353,1,0.989154707
"('3.png', '64.png')",0.801724138,0.687809584,0.917525773,0.741404912,0.950892857,0.869787663,0.982876712,0.956121145,1,0.997841748
"('4.png', '5.png')",0.764705882,0.4825056,0.909482759,0.80136282,0.945454545,0.902328643,0.970930233,0.871988533,1,0.99571907
"('4.png', '6.png')",0.572115385,0.707300342,0.875675676,0.776920499,0.962790698,0.904721573,0.995454545,0.90619629,0.997311828,0.990134556
"('4.png', '7.png')",0.668141593,0.700518698,0.873417722,0.777734775,0.937219731,0.897899537,0.991416309,0.908848553,1,0.980063587
"('4.png', '8.png')",0.786956522,0.721250468,0.924418605,0.787051763,0.965853659,0.895486806,0.996428571,0.952137877,1,1
"('4.png', '9.png')",0.723684211,0.72903032,0.859296482,0.759454189,0.947867299,0.89886175,0.993730408,0.971038233,1,0.99757746
"('4.png', '10.png')",0.733031674,0.644950386,0.894736842,0.773458601,0.917948718,0.843183399,0.996389892,0.97910183,1,0.981098705
"('4.png', '11.png')",0.61722488,0.704923043,0.777173913,0.736704269,0.930851064,0.870922233,0.993174061,0.970065554,1,1
"('4.png', '12.png')",0.719211823,0.676799505,0.919642857,0.768104973,0.922155689,0.815678573,0.994974874,0.93974501,1,0.9940225
"('4.png', '13.png')",0.618834081,0.668849348,0.845714286,0.75376523,0.922680412,0.81988141,0.977272727,0.944603553,0.996815287,0.964239615
"('4.png', '14.png')",0.603864734,0.695950893,0.845814978,0.728701166,0.981900452,0.907049197,0.985239852,0.963315772,1,1
"('4.png', '15.png')",0.682464455,0.725241098,0.697142857,0.726297243,0.927272727,0.900136098,0.993485342,0.969893953,1,0.95835318
"('4.png', '16.png')",0.802973978,0.755094431,0.842931937,0.806242544,0.904761905,0.872150786,0.985507246,0.953207395,1,1
"('4.png', '17.png')",0.685990338,0.748588242,0.732240437,0.763922835,0.958549223,0.873918836,0.965317919,0.9134787,1,1
"('4.png', '18.png')",0.751111111,0.750491477,0.860335196,0.761187491,0.916666667,0.879718363,0.970414201,0.925129247,1,0.971997885
"('4.png', '19.png')",0.791855204,0.587966893,0.861751152,0.795071048,0.917525773,0.838628987,0.997191011,0.990038955,1,0.994279045
"('4.png', '20.png')",0.713656388,0.739537802,0.711229947,0.741249008,0.924324324,0.858409669,0.98630137,0.914572356,1,0.953537615
"('4.png', '21.png')",0.696428571,0.705845227,0.732620321,0.64395354,0.985714286,0.910661754,0.996062992,0.941521164,1,0.981949101
"('4.png', '22.png')",0.634453782,0.704538235,0.852380952,0.766257731,0.91,0.763751565,1,0.940752744,1,0.997762205
"('4.png', '23.png')",0.767241379,0.748560372,0.84,0.7597739,0.932692308,0.910990174,0.984189723,0.939475136,1,0.981989057
"('4.png', '24.png')",0.746411483,0.72171503,0.87037037,0.759516256,0.892857143,0.837304027,0.99378882,0.975432126,1,1
"('4.png', '25.png')",0.831632653,0.663222132,0.847457627,0.757371267,0.936585366,0.86440847,0.98757764,0.957045527,1,1
"('4.png', '26.png')",0.746341463,0.528473823,0.834196891,0.751233945,0.954751131,0.905134472,0.994301994,0.965153645,1,0.964685919
"('4.png', '27.png')",0.75257732,0.69320873,0.863207547,0.805758142,0.957446809,0.911603977,0.992537313,0.935937245,1,0.969199466
"('4.png', '28.png')",0.792951542,0.612977683,0.843575419,0.683867091,0.935135135,0.89665304,0.97752809,0.898703394,1,0.977934065
